Time,CPU Usage
41772.068670,3.5
41772.068716,0.9
41772.068762,0.3
41772.068808,0.1
41772.068855,0.4
41772.068901,0.2
41772.068949,0.2
41772.068994,0.2
41772.069040,0.3
41772.069086,1.1
41772.069133,0.2
41772.069179,0.1
41772.069225,0.3
41772.069271,0.2
41772.069318,25.8
41772.069364,23.3
41772.069410,0.4
41772.069457,0.2
41772.069503,0.2
41772.069549,0.6
41772.069596,0.8
41772.069642,2.1
41772.069688,12.2
41772.069735,0.2
41772.069781,0.2
41772.069827,0.1
41772.069874,0.5
41772.069920,0.1
41772.069967,0.2
41772.070013,0.1
41772.070059,0.3
41772.070105,0.1
41772.070152,0.3
41772.070198,0.4
41772.070244,0.1
41772.070290,0.2
41772.070337,0.1
41772.070383,0.1
41772.070429,0.1
41772.070476,0.3
41772.070522,0.3
41772.070568,0.1
41772.070614,0.2
41772.070661,0.1
41772.070707,0.3
41772.070753,0.1
41772.070800,0.1
41772.070846,0.2
41772.070892,0.1
41772.070939,0.4
41772.070985,0.2
41772.071031,0.3
41772.071078,0.1
41772.071124,0.1
41772.071170,0.2
41772.071216,0.3
41772.071263,0.1
41772.071309,0.2
41772.071355,0.1
41772.071402,0.1
41772.071448,0.2
41772.071494,0.2
41772.071540,0.2
41772.071587,0.5
41772.071633,1.4
41772.071679,0.4
41772.071726,0.4
41772.071772,0.8
41772.071818,0.1
41772.071865,0.1
41772.071911,0.2
41772.071957,0.1
41772.072003,0.1
41772.072050,0.1
41772.072096,0.2
41772.072142,0.2
41772.072188,0.1
41772.072235,0.1
41772.072281,0.2
41772.072328,0.1
41772.072374,0.1
41772.072420,0.2
41772.072466,0.1
41772.072514,1.9
41772.072559,0.1
41772.072605,0.1
41772.072651,0.1
41772.072698,1.5
41772.072744,0.2
41772.072790,5.0
41772.072837,9.5
41772.072883,1.6
41772.072929,0.1
41772.072976,0.1
41772.073022,0.9
41772.073068,0.2
41772.073115,0.2
41772.073162,10.9
41772.073207,0.2
41772.073253,0.1
41772.073300,3.1
41772.073346,0.7
41772.073392,0.1
41772.073439,0.1
41772.073485,0.1
41772.073531,0.1
41772.073577,0.1
41772.073624,0.1
41772.073670,0.1
41772.073716,0.1
41772.073763,0.1
41772.073809,0.1
41772.073855,0.2
41772.073901,0.1
41772.073948,0.1
41772.073994,0.1
41772.074040,0.2
41772.074087,0.1
41772.074133,0.1
41772.074179,0.1
41772.074225,0.2
41772.074272,0.1
41772.074318,0.3
41772.074364,0.5
41772.074411,0.2
41772.074457,0.1
41772.074503,0.1
41772.074550,0.1
41772.074596,0.1
41772.074642,0.2
41772.074689,0.1
41772.074735,0.1
41772.074781,0.2
41772.074827,0.1
41772.074874,0.2
41772.074920,0.1
41772.074966,0.1
41772.075013,0.1
41772.075059,0.2
41772.075105,0.1
41772.075152,0.1
41772.075198,1.5
41772.075244,0.1
41772.075290,0.1
41772.075337,0.1
41772.075383,0.2
41772.075429,0.1
41772.075475,0.1
41772.075522,0.7
41772.075568,0.1
41772.075615,0.2
41772.075661,0.1
41772.075707,0.1
41772.075753,0.1
41772.075800,0.1
41772.075846,0.1
41772.075892,0.2
41772.075939,0.5
41772.075985,0.1
41772.076031,0.1
41772.076078,0.1
41772.076124,0.2
41772.076170,0.3
41772.076216,0.1
41772.076263,5.7
41772.076309,8.3
41772.076355,3.3
41772.076401,1.5
41772.076448,0.1
41772.076494,0.1
41772.076540,0.1
41772.076587,0.2
41772.076633,0.1
41772.076679,0.2
41772.076725,0.2
41772.076772,0.1
41772.076818,5.7
41772.076864,0.1
41772.076911,0.1
41772.076957,0.1
41772.077005,0.3
41772.077050,0.2
41772.077096,5.6
41772.077142,0.2
41772.077188,0.1
41772.077235,0.1
41772.077281,0.1
41772.077327,0.1
41772.077374,0.2
41772.077420,0.1
41772.077466,0.1
41772.077513,0.0
41772.077559,0.3
41772.077605,0.1
41772.077652,0.1
41772.077698,0.1
41772.077744,0.1
41772.077790,0.2
41772.077837,0.2
41772.077883,0.1
41772.077929,0.1
41772.077975,0.1
41772.078022,0.1
41772.078068,0.1
41772.078114,0.1
41772.078161,0.1
41772.078207,0.1
41772.078253,0.2
41772.078300,0.1
41772.078346,0.1
41772.078392,0.1
41772.078438,0.5
41772.078485,0.1
41772.078531,0.1
41772.078578,0.2
41772.078624,0.1
41772.078670,0.2
41772.078716,0.1
41772.078763,0.1
41772.078809,0.2
41772.078855,0.6
41772.078901,0.1
41772.078948,0.1
41772.078994,0.2
41772.079040,0.1
41772.079087,0.1
41772.079133,0.2
41772.079179,0.1
41772.079225,0.1
41772.079272,0.1
41772.079318,0.2
41772.079364,0.1
41772.079411,0.1
41772.079457,0.1
41772.079503,0.1
41772.079550,0.3
41772.079596,0.2
41772.079642,0.1
41772.079689,0.7
41772.079735,3.8
41772.079781,6.4
41772.079828,2.7
41772.079874,1.1
41772.079920,2.7
41772.079966,0.6
41772.080013,0.3
41772.080059,0.2
41772.080105,0.1
41772.080153,0.1
41772.080198,0.2
41772.080244,4.6
41772.080290,0.2
41772.080337,3.4
41772.080383,2.6
41772.080429,1.6
41772.080475,1.5
41772.080522,0.2
41772.080568,8.5
41772.080614,2.7
41772.080661,1.1
41772.080707,0.5
41772.080753,4.5
41772.080801,0.6
41772.080846,0.4
41772.080892,0.1
41772.080938,0.2
41772.080985,0.9
41772.081031,0.9
41772.081077,0.1
41772.081124,0.1
41772.081170,0.1
41772.081216,0.8
41772.081263,0.7
41772.081309,0.8
41772.081355,0.1
41772.081401,0.1
41772.081448,0.1
41772.081494,0.1
41772.081540,0.2
41772.081587,0.2
41772.081633,0.1
41772.081679,0.1
41772.081725,0.1
41772.081772,0.1
41772.081818,0.1
41772.081864,0.2
41772.081911,0.1
41772.081957,0.1
41772.082003,0.1
41772.082051,0.2
41772.082096,0.1
41772.082142,0.1
41772.082188,0.1
41772.082235,0.1
41772.082281,0.2
41772.082327,0.1
41772.082374,0.1
41772.082420,0.1
41772.082466,0.1
41772.082513,0.1
41772.082559,0.1
41772.082605,0.1
41772.082651,0.2
41772.082698,0.1
41772.082744,0.1
41772.082790,0.1
41772.082837,0.2
41772.082883,0.5
41772.082929,0.1
41772.082975,0.0
41772.083022,0.2
41772.083068,0.1
41772.083114,0.3
41772.083161,0.0
41772.083207,1.6
41772.083253,6.4
41772.083300,1.1
41772.083346,0.6
41772.083392,0.6
41772.083439,2.2
41772.083485,0.2
41772.083531,0.1
41772.083577,0.1
41772.083624,0.1
41772.083670,0.1
41772.083716,0.1
41772.083763,0.2
41772.083809,0.1
41772.083855,0.1
41772.083901,0.1
41772.083948,0.1
41772.083994,0.1
41772.084040,0.1
41772.084087,0.1
41772.084133,0.1
41772.084179,0.1
41772.084225,9.2
41772.084272,0.1
41772.084318,0.1
41772.084364,0.2
41772.084411,0.2
41772.084457,0.1
41772.084503,6.2
41772.084550,0.1
41772.084596,0.1
41772.084642,0.2
41772.084688,0.0
41772.084735,0.2
41772.084781,0.2
41772.084827,0.2
41772.084874,0.1
41772.084920,0.2
41772.084966,0.1
41772.085013,0.1
41772.085059,0.1
41772.085105,0.2
41772.085151,0.1
41772.085198,0.2
41772.085244,0.1
41772.085290,0.1
41772.085337,0.1
41772.085383,0.1
41772.085429,0.1
41772.085475,0.1
41772.085522,0.1
41772.085568,0.1
41772.085614,0.3
41772.085661,0.1
41772.085707,0.1
41772.085753,0.1
41772.085800,0.1
41772.085846,0.1
41772.085892,0.2
41772.085938,0.1
41772.085985,0.1
41772.086031,0.1
41772.086077,0.1
41772.086124,0.1
41772.086170,0.2
41772.086216,0.2
41772.086263,0.1
41772.086309,0.1
41772.086355,0.1
41772.086401,0.1
41772.086448,0.2
41772.086494,0.1
41772.086542,0.1
41772.086587,0.1
41772.086633,0.1
41772.086679,0.1
41772.086725,7.1
41772.086772,1.5
41772.086818,0.6
41772.086864,0.1
41772.086911,0.8
41772.086957,1.9
41772.087003,0.2
41772.087050,0.1
41772.087096,0.1
41772.087142,0.1
41772.087188,0.1
41772.087235,0.1
41772.087281,0.2
41772.087327,0.1
41772.087374,0.1
41772.087420,0.1
41772.087466,0.1
41772.087513,0.1
41772.087559,0.1
41772.087605,0.1
41772.087651,0.1
41772.087698,0.1
41772.087744,0.1
41772.087790,0.1
41772.087838,0.1
41772.087883,0.1
41772.087929,0.2
41772.087975,5.3
41772.088022,0.2
41772.088068,0.1
41772.088114,3.3
41772.088161,2.2
41772.088207,0.1
41772.088253,3.7
41772.088300,1.2
41772.088346,0.6
41772.088392,0.1
41772.088438,0.1
41772.088485,0.1
41772.088531,0.1
41772.088577,0.3
41772.088624,0.2
41772.088670,0.1
41772.088716,0.1
41772.088763,1.2
41772.088809,0.3
41772.088855,0.2
41772.088902,0.5
41772.088948,0.3
41772.088994,0.1
41772.089040,0.2
41772.089087,0.1
41772.089133,0.1
41772.089179,0.1
41772.089225,0.2
41772.089272,0.1
41772.089318,0.1
41772.089364,0.2
41772.089411,0.1
41772.089457,0.1
41772.089503,0.3
41772.089550,0.1
41772.089596,0.1
41772.089642,0.1
41772.089688,0.1
41772.089735,0.1
41772.089781,0.1
41772.089827,0.2
41772.089874,0.1
41772.089920,0.1
41772.089966,0.1
41772.090013,0.1
41772.090059,0.1
41772.090105,0.1
41772.090151,0.1
41772.090198,7.7
41772.090244,1.3
41772.090290,0.3
41772.090337,0.7
41772.090383,2.6
41772.090429,0.9
41772.090476,1.4
41772.090522,0.1
41772.090568,0.2
41772.090615,1.3
41772.090661,0.1
41772.090707,0.4
41772.090753,0.1
41772.090800,0.2
41772.090846,0.4
41772.090892,0.3
41772.090938,0.8
41772.090985,0.6
41772.091031,0.8
41772.091079,0.1
41772.091124,1.1
41772.091170,0.6
41772.091216,0.1
41772.091263,0.1
41772.091309,0.1
41772.091355,0.1
41772.091401,0.1
41772.091448,1.0
41772.091494,0.8
41772.091540,0.1
41772.091587,0.1
41772.091633,0.1
41772.091679,0.1
41772.091726,4.1
41772.091772,0.1
41772.091818,0.1
41772.091864,0.1
41772.091911,0.2
41772.091957,0.1
41772.092003,3.9
41772.092050,0.1
41772.092096,0.2
41772.092142,0.1
41772.092188,0.6
41772.092235,0.6
41772.092281,0.1
41772.092327,0.1
41772.092374,0.1
41772.092420,0.1
41772.092466,0.1
41772.092513,0.1
41772.092559,0.1
41772.092605,0.2
41772.092651,0.0
41772.092698,0.1
41772.092744,0.1
41772.092790,0.1
41772.092837,0.2
41772.092883,0.1
41772.092929,0.1
41772.092975,0.2
41772.093022,0.1
41772.093068,0.1
41772.093114,0.1
41772.093161,0.1
41772.093207,0.1
41772.093253,0.1
41772.093300,0.1
41772.093346,0.1
41772.093392,0.1
41772.093438,0.1
41772.093485,0.4
41772.093531,0.1
41772.093577,0.2
41772.093624,0.1
41772.093670,6.6
41772.093716,0.3
41772.093763,1.1
41772.093809,0.6
41772.093855,0.1
41772.093902,0.6
41772.093948,1.3
41772.093994,0.6
41772.094040,0.1
41772.094087,0.1
41772.094133,0.1
41772.094179,0.1
41772.094225,0.2
41772.094272,0.1
41772.094318,0.1
41772.094364,0.1
41772.094411,0.1
41772.094457,0.1
41772.094503,0.1
41772.094550,0.1
41772.094596,0.3
41772.094642,0.1
41772.094688,0.1
41772.094735,0.1
41772.094781,0.3
41772.094827,0.4
41772.094874,0.1
41772.094920,0.1
41772.094966,0.1
41772.095013,0.1
41772.095059,0.2
41772.095105,0.1
41772.095151,0.1
41772.095198,0.1
41772.095244,0.1
41772.095290,0.1
41772.095337,0.1
41772.095383,0.1
41772.095429,0.1
41772.095475,4.9
41772.095522,0.2
41772.095568,0.2
41772.095614,0.1
41772.095661,2.6
41772.095707,0.1
41772.095753,0.2
41772.095800,0.1
41772.095846,0.9
41772.095892,0.1
41772.095938,0.1
41772.095985,0.2
41772.096031,0.1
41772.096077,0.2
41772.096124,0.1
41772.096170,0.1
41772.096216,0.1
41772.096263,0.1
41772.096309,0.1
41772.096355,0.1
41772.096401,0.1
41772.096448,0.2
41772.096494,0.3
41772.096540,0.1
41772.096587,0.1
41772.096633,0.1
41772.096679,0.2
41772.096725,0.1
41772.096772,0.2
41772.096818,0.1
41772.096864,0.1
41772.096911,0.1
41772.096957,0.1
41772.097003,0.2
41772.097050,0.1
41772.097096,0.1
41772.097142,6.9
41772.097188,0.2
41772.097235,1.1
41772.097281,0.1
41772.097327,1.2
41772.097374,0.1
41772.097420,0.6
41772.097466,1.3
41772.097513,0.6
41772.097559,0.1
41772.097605,0.1
41772.097651,0.1
41772.097698,0.2
41772.097744,0.1
41772.097790,0.1
41772.097837,0.2
41772.097883,0.3
41772.097929,0.1
41772.097975,0.1
41772.098022,0.1
41772.098068,0.1
41772.098114,0.1
41772.098161,0.1
41772.098207,0.2
41772.098253,0.1
41772.098300,0.1
41772.098346,0.1
41772.098392,0.1
41772.098438,0.1
41772.098485,0.1
41772.098531,0.1
41772.098577,0.1
41772.098624,0.1
41772.098670,0.1
41772.098716,0.1
41772.098763,0.1
41772.098809,0.1
41772.098855,0.1
41772.098901,0.1
41772.098948,0.1
41772.098994,0.1
41772.099040,0.1
41772.099087,0.2
41772.099133,3.3
41772.099179,0.2
41772.099225,0.2
41772.099272,3.3
41772.099318,0.3
41772.099364,0.1
41772.099411,0.1
41772.099457,0.2
41772.099503,0.1
41772.099550,0.1
41772.099596,0.1
41772.099642,0.1
41772.099688,0.1
41772.099735,0.1
41772.099781,0.1
41772.099827,0.1
41772.099874,0.1
41772.099920,0.1
41772.099966,0.1
41772.100013,0.1
41772.100059,0.1
41772.100105,0.2
41772.100151,0.1
41772.100198,0.1
41772.100244,0.2
41772.100290,0.0
