Time,CPU Usage
41772.068381,7.7
41772.068427,1.4
41772.068473,0.4
41772.068519,0.2
41772.068566,2.4
41772.068612,8.4
41772.068658,4.9
41772.068704,5.0
41772.068751,5.0
41772.068797,5.3
41772.068843,4.6
41772.068890,5.1
41772.068936,10.2
41772.068982,10.0
41772.069029,6.3
41772.069075,5.4
41772.069121,4.6
41772.069167,5.3
41772.069214,6.2
41772.069260,3.8
41772.069306,8.5
41772.069353,24.3
41772.069399,24.5
41772.069445,9.0
41772.069492,6.5
41772.069538,4.5
41772.069584,5.2
41772.069630,4.5
41772.069677,7.3
41772.069723,12.6
41772.069771,10.8
41772.069816,6.6
41772.069862,4.3
41772.069908,4.3
41772.069955,4.9
41772.070001,4.5
41772.070047,4.6
41772.070094,8.2
41772.070140,9.2
41772.070195,6.6
41772.070232,6.5
41772.070279,3.6
41772.070325,3.4
41772.070371,5.6
41772.070417,5.7
41772.070464,8.5
41772.070510,5.9
41772.070556,2.3
41772.070603,5.7
41772.070649,6.4
41772.070695,3.9
41772.070742,3.5
41772.070788,4.3
41772.070834,6.3
41772.070880,11.1
41772.070927,3.3
41772.070973,4.1
41772.071019,5.1
41772.071066,8.2
41772.071112,5.5
41772.071158,4.1
41772.071204,4.4
41772.071251,8.5
41772.071297,2.8
41772.071343,4.2
41772.071390,3.9
41772.071436,3.9
41772.071482,7.4
41772.071529,6.3
41772.071575,3.9
41772.071621,7.3
41772.071668,3.1
41772.071714,3.4
41772.071760,2.9
41772.071806,2.4
41772.071853,0.7
41772.071899,0.4
41772.071945,0.1
41772.071991,0.1
41772.072038,0.1
41772.072084,11.3
41772.072131,4.3
41772.072177,4.8
41772.072223,5.2
41772.072269,3.9
41772.072316,3.8
41772.072362,4.8
41772.072408,4.6
41772.072454,12.9
41772.072501,9.5
41772.072547,4.2
41772.072593,3.8
41772.072640,7.2
41772.072686,4.4
41772.072732,5.1
41772.072779,5.6
41772.072825,9.6
41772.072872,11.9
41772.072918,27.3
41772.072964,4.9
41772.073010,4.0
41772.073056,4.8
41772.073103,4.2
41772.073149,8.5
41772.073195,11.1
41772.073241,4.2
41772.073288,7.4
41772.073334,7.7
41772.073380,3.9
41772.073427,4.1
41772.073473,4.2
41772.073519,4.5
41772.073566,9.6
41772.073612,9.2
41772.073658,5.1
41772.073704,7.6
41772.073751,7.6
41772.073797,4.3
41772.073843,7.6
41772.073890,5.4
41772.073936,11.8
41772.073982,4.9
41772.074029,4.2
41772.074075,4.6
41772.074121,7.4
41772.074167,7.1
41772.074214,5.0
41772.074260,7.6
41772.074306,10.9
41772.074353,4.4
41772.074399,4.4
41772.074445,4.8
41772.074492,4.5
41772.074538,11.9
41772.074584,8.2
41772.074630,6.4
41772.074677,9.3
41772.074723,4.5
41772.074769,4.2
41772.074816,4.2
41772.074862,4.6
41772.074908,8.3
41772.074954,9.5
41772.075001,5.9
41772.075047,10.2
41772.075093,4.3
41772.075140,4.8
41772.075186,4.2
41772.075232,7.6
41772.075279,5.9
41772.075325,6.9
41772.075371,8.8
41772.075417,9.2
41772.075464,8.3
41772.075510,4.4
41772.075556,4.6
41772.075603,4.4
