Time,Used
41772.068626,247501616
41772.068669,255433208
41772.068715,256788600
41772.068761,258110288
41772.068808,258771240
41772.068854,259432824
41772.068900,260094728
41772.068947,260755632
41772.068993,261416784
41772.069039,262077664
41772.069086,264093024
41772.069132,265415464
41772.069178,266076856
41772.069225,268095112
41772.069271,269418056
41772.069317,376583040
41772.069364,100676352
41772.069410,104458264
41772.069456,110708568
41772.069503,111634496
41772.069549,119821256
41772.069595,123509368
41772.069641,133799912
41772.069688,169103864
41772.069734,170002832
41772.069780,170466200
41772.069827,171854240
41772.069873,171854240
41772.069919,172779512
41772.069966,173678320
41772.070012,174127696
41772.070058,175363768
41772.070105,175813232
41772.070151,177103632
41772.070197,178029216
41772.070244,178928024
41772.070290,179377400
41772.070336,179839984
41772.070383,180765160
41772.070429,181227800
41772.070475,182153128
41772.070521,183065144
41772.070568,183516096
41772.070614,184414936
41772.070660,185326992
41772.070707,185789584
41772.070753,186714992
41772.070799,187177600
41772.070845,188434832
41772.070892,188885784
41772.070938,189784696
41772.070984,190683752
41772.071031,191133168
41772.071077,192059984
41772.071123,192985568
41772.071170,193448192
41772.071216,193910800
41772.071262,194836608
41772.071308,196093808
41772.071355,196543384
41772.071401,197442224
41772.071447,198341032
41772.071494,198790408
41772.071540,200079928
41772.071586,205958872
41772.071633,211830712
41772.071679,212742808
41772.071725,214738760
41772.071771,220729248
41772.071818,221191840
41772.071864,221654544
41772.071910,222580808
41772.071957,223043528
41772.072003,223969024
41772.072049,224867792
41772.072095,225978552
41772.072142,226877560
41772.072188,227326976
41772.072234,228225800
41772.072281,228675176
41772.072327,229573984
41772.072373,233399464
41772.072420,234239552
41772.072466,235602032
41772.072512,241628152
41772.072558,242553408
41772.072605,243016848
41772.072651,243942048
41772.072697,250118312
41772.072744,251030456
41772.072790,279504432
41772.072836,345839744
41772.072883,355503136
41772.072929,355965800
41772.072975,356892552
41772.073021,357355272
41772.073068,358613576
41772.073114,359062992
41772.073160,413043328
41772.073207,413942232
41772.073253,415225392
41772.073299,427028488
41772.073345,430104608
41772.073392,431031072
41772.073438,431493792
41772.073484,432419096
41772.073531,433331400
41772.073577,433780904
41772.073623,434230320
41772.073670,435129200
41772.073716,435578624
41772.073762,436478224
41772.073808,436928352
41772.073855,437827944
41772.073901,438277312
41772.073947,439203328
41772.073994,439666144
41772.074040,441041016
41772.074086,441503600
41772.074133,442428960
41772.074179,443249704
41772.074225,444037720
41772.074271,445399696
41772.074318,445862280
41772.074364,446325656
41772.074410,447250832
41772.074457,447713424
41772.074503,448639952
41772.074549,452028648
41772.074595,452955112
41772.074642,453417704
41772.074688,454318032
41772.074734,455244336
41772.074781,455706952
41772.074827,456632152
41772.074873,457094800
41772.074920,458378128
41772.074966,458840992
41772.075012,459766288
41772.075058,460229008
41772.075105,461604928
41772.075151,461982736
41772.075197,45806296
41772.075244,53108464
41772.075290,54252688
41772.075336,54824848
41772.075383,55397064
41772.075429,55969360
41772.075475,58432600
41772.075521,59576672
41772.075568,60485912
41772.075614,61279432
41772.075660,62423784
41772.075707,62995896
41772.075753,63567984
41772.075799,64140776
41772.075845,64984976
41772.075892,66129176
41772.075938,67166168
41772.075984,67839312
41772.076031,68512424
41772.076077,69084488
41772.076123,70228616
41772.076170,71164688
41772.076216,71837784
41772.076262,106811496
41772.076308,155234136
41772.076355,180050048
41772.076401,194299680
41772.076447,194972816
41772.076494,195646624
41772.076540,196627592
41772.076586,197300848
41772.076633,197873032
41772.076679,199348176
41772.076725,199920992
41772.076771,200493016
41772.076818,255720464
41772.076864,257296424
41772.076910,257969520
41772.076957,258642704
41772.077003,261910264
41772.077049,263156368
41772.077095,276669568
41772.077142,277813808
41772.077188,278385976
41772.077234,279321192
41772.077281,279893504
41772.077327,280566832
