Time,Used
41772.068336,208393264
41772.068380,245428336
41772.068426,268216896
41772.068472,273861360
41772.068519,274583608
41772.068565,304725728
41772.068611,435298552
41772.068658,483105136
41772.068704,551410792
41772.068750,625806232
41772.068797,688990728
41772.068843,740886776
41772.068889,806970256
41772.068935,985784176
41772.068982,1185883168
41772.069028,1286894032
41772.069074,1346819056
41772.069121,1400776720
41772.069167,1458265328
41772.069213,136692728
41772.069259,183095208
41772.069306,279399712
41772.069352,715242320
41772.069399,1422296656
41772.069445,188073168
41772.069491,254389400
41772.069537,306997392
41772.069584,382867536
41772.069630,432928768
41772.069676,545773728
41772.069723,761029632
41772.069769,944649056
41772.069815,1056268120
41772.069861,1108643760
41772.069908,1159679864
41772.069954,1215841952
41772.070000,1268558336
41772.070047,1319277240
41772.070093,1461903424
41772.070139,175495848
41772.070195,299228880
41772.070232,387699472
41772.070278,442501776
41772.070324,484803600
41772.070371,593791296
41772.070417,698572872
41772.070463,843078192
41772.070510,938213936
41772.070556,962356256
41772.070602,1041344816
41772.070649,1150331208
41772.070695,1198192416
41772.070741,1241106400
41772.070787,1302046672
41772.070834,1412839176
41772.070880,205200336
41772.070926,246089912
41772.070973,303721912
41772.071019,373796904
41772.071065,544025576
41772.071111,653251928
41772.071158,721631272
41772.071204,775851456
41772.071250,920814152
41772.071297,956850360
41772.071343,1007129520
41772.071389,1044738720
41772.071436,1096458712
41772.071482,1210479848
41772.071528,1330213144
41772.071574,1378575944
41772.071621,1500125816
41772.071667,1554601656
41772.071713,142874608
41772.071760,220607072
41772.071806,281820912
41772.071852,292087776
41772.071899,296415312
41772.071945,296978784
41772.071991,298665344
41772.072037,299415432
41772.072084,535614280
41772.072130,597863488
41772.072176,654889856
41772.072223,733482056
41772.072269,785589320
41772.072315,834352008
41772.072361,897576616
41772.072408,958149616
41772.072454,1216364104
41772.072500,1374507704
41772.072547,1428774600
41772.072593,1475209592
41772.072639,195400520
41772.072686,244635936
41772.072732,296939720
41772.072778,363858464
41772.072824,535356800
41772.072871,1032678664
41772.072917,180812200
41772.072963,313756464
41772.073010,366794072
41772.073056,438020304
41772.073102,492244456
41772.073149,626992472
41772.073195,850424856
41772.073241,932141784
41772.073287,1054616752
41772.073334,1173152456
41772.073380,1221991688
41772.073426,1270794472
41772.073473,1331883144
41772.073519,1383881952
41772.073565,1555285992
41772.073611,283361328
41772.073658,349178728
41772.073704,467073168
41772.073750,591461000
41772.073797,648896712
41772.073843,779011392
41772.073889,878113752
41772.073936,1096015200
41772.073982,1158744152
41772.074028,1211518672
