sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,1571,12,4,759,39.693017335780155,0.0,0.16677160220376305,0.582560567463731,3577.0
/login,798,37,24,292,26.487345711773525,0.0,0.08471537227310452,4.590266045481645,55485.0
/rtconsole,798,17,11,281,17.699116498276624,0.0,0.0847164694761677,4.570139150715801,55241.0
/assets/images/basepanel.svg,1116,10,3,459,30.708872442254073,0.0,0.11847615460373813,0.009088828266584512,78.55555555555556
/orderStatusThroughput,64,16,12,79,9.93887569094211,0.0,0.006828336786800227,0.25218168027657323,37818.0
/esc,64,15,11,101,11.847624696009746,0.0,0.006854555751957619,0.2940898949282285,43934.0
/topErrors,64,14,10,92,11.33147579752964,0.0,0.006872129007041785,0.23121627019493224,34453.0
/orderresponse,32,14,9,101,16.033625554985996,0.0,0.0033972814953474226,0.09926100103447222,29919.0
/orderCount,64,13,9,115,15.046534264054795,0.0,0.006795458297918201,0.22233890118501112,33504.0
/OrderStatusReport,30,62,47,207,31.9107958046942,0.0,0.0032689367325626196,0.10038572704312904,31446.0
/services/reports/v1/historical/jeaOrderErrorBreakdown,64,272,99,1081,135.90371347368512,0.0,0.006872002089088635,6.979377121730645E-4,104.0
/services/reports/v1/historical/totalServicesManaged,64,566,285,2405,290.19868597867566,0.0,0.006854201914935499,0.0012583886328201893,188.0
/services/reports/v1/historical/orderThroughputByStatus,64,747,466,3384,537.6363844048666,0.0,0.006828031544652232,4.7871835927523,717934.0
/services/reports/v1/historical/jeaTaskErrors,64,1255,449,1811,284.3539033211684,0.0,0.006828998359866659,6.935701459239575E-4,104.0
/services/reports/v1/historical/OrderBreakdown,64,362,270,1536,172.25111616905238,0.0,0.006855818704730171,0.0035818974678033613,535.0
/services/reports/v1/historical/orderStatusBreakdown,64,3569,2997,5613,430.6003156477449,0.0,0.006793122769878827,7.742196320611194,1167064.0
/services/reports/v1/historical/orderResponseTime,32,3737,2704,6695,871.6965447969479,0.0,0.0033959489724707395,6.335799446715013,1910470.0
/monthlyreports_html_fileformat,30,16047,12421,30598,4987.275867868372,0.0,0.0032641408019776345,0.056736759896874905,17799.0
/logout,798,131,13,490,119.8737575399546,0.0,0.087064173169113,0.3562489116978354,4190.0
TOTAL,5845,208,3,30598,1291.4787292190113,0.0,0.6174431220797555,30.04653689096551,49830.7498716852
