Time,Live threads
41772.068348,147
41772.068380,149
41772.068426,149
41772.068473,149
41772.068519,148
41772.068565,148
41772.068611,149
41772.068658,150
41772.068704,149
41772.068751,155
41772.068797,155
41772.068843,155
41772.068889,154
41772.068936,154
41772.068982,154
41772.069028,154
41772.069074,154
41772.069121,155
41772.069167,155
41772.069214,157
41772.069260,157
41772.069307,165
41772.069373,478
41772.069399,475
41772.069445,474
41772.069491,473
41772.069537,472
41772.069584,471
41772.069630,470
41772.069677,468
41772.069723,467
41772.069770,467
41772.069815,467
41772.069861,467
41772.069908,467
41772.069954,467
41772.070000,467
41772.070047,173
41772.070094,172
41772.070143,196
41772.070195,196
41772.070232,197
41772.070278,197
41772.070324,197
41772.070371,197
41772.070417,197
41772.070464,197
41772.070510,197
41772.070556,197
41772.070602,197
41772.070649,197
41772.070695,197
41772.070741,197
41772.070787,197
41772.070834,147
41772.070880,148
41772.070926,148
41772.070973,148
41772.071019,148
41772.071065,148
41772.071111,148
41772.071158,148
41772.071204,148
41772.071250,147
41772.071297,147
41772.071343,147
41772.071389,147
41772.071436,147
41772.071482,147
41772.071528,144
41772.071575,143
41772.071621,144
41772.071667,145
41772.071714,146
41772.071760,146
41772.071806,146
41772.071852,146
41772.071899,146
41772.071945,146
41772.071991,146
41772.072038,146
41772.072084,147
41772.072130,148
41772.072177,148
41772.072223,148
41772.072269,149
41772.072315,147
41772.072361,147
41772.072408,147
41772.072454,147
41772.072501,148
41772.072547,148
41772.072593,148
41772.072640,152
41772.072686,152
41772.072732,152
41772.072778,151
41772.072826,167
41772.072895,579
41772.072918,579
41772.072964,579
41772.073010,578
41772.073056,577
41772.073102,576
41772.073149,575
41772.073195,574
41772.073241,573
41772.073288,573
41772.073334,573
41772.073380,573
41772.073426,573
41772.073473,573
41772.073519,573
41772.073565,176
41772.073613,193
41772.073658,166
41772.073704,166
41772.073750,166
41772.073797,167
41772.073843,167
41772.073889,166
41772.073936,167
41772.073982,167
41772.074028,166
41772.074074,166
41772.074121,166
41772.074167,166
41772.074214,166
41772.074260,166
41772.074306,166
41772.074352,166
41772.074399,167
41772.074445,167
41772.074491,167
41772.074538,167
41772.074584,167
41772.074630,166
41772.074676,166
41772.074723,166
41772.074769,166
41772.074815,166
41772.074862,169
41772.074909,178
41772.074954,177
41772.075001,165
41772.075047,166
41772.075093,166
41772.075139,165
41772.075186,165
41772.075232,165
41772.075278,165
41772.075324,165
41772.075371,165
41772.075417,165
41772.075464,168
41772.075510,168
41772.075556,168
41772.075602,156
41772.075649,156
41772.075695,156
41772.075741,156
41772.075788,158
41772.075834,158
41772.075880,158
41772.075926,158
41772.075973,158
41772.076019,158
41772.076065,158
41772.076111,156
41772.076158,153
41772.076204,153
41772.076250,153
41772.076297,157
41772.076343,160
41772.076427,841
41772.076436,843
41772.076482,841
41772.076528,841
41772.076574,840
41772.076621,839
41772.076667,838
41772.076713,837
41772.076760,836
41772.076806,836
41772.076852,836
41772.076899,836
41772.076945,836
41772.076991,837
41772.077037,837
41772.077084,171
41772.077130,170
41772.077176,154
41772.077223,153
41772.077269,153
41772.077316,158
41772.077361,158
41772.077408,158
41772.077454,157
41772.077501,157
41772.077547,155
41772.077593,155
41772.077639,156
41772.077686,155
41772.077732,156
41772.077778,156
41772.077825,156
41772.077871,156
41772.077917,156
41772.077964,156
41772.078010,153
41772.078056,153
41772.078102,152
41772.078149,152
41772.078195,152
41772.078241,152
41772.078289,152
41772.078334,149
41772.078380,149
41772.078426,149
41772.078474,162
41772.078519,162
41772.078565,162
41772.078611,162
41772.078658,162
41772.078704,164
41772.078750,164
41772.078797,165
41772.078843,165
41772.078889,165
41772.078937,170
41772.078982,170
41772.079028,170
41772.079075,172
41772.079121,172
41772.079167,169
41772.079213,169
41772.079260,169
41772.079306,169
41772.079352,169
41772.079399,169
41772.079445,171
41772.079491,173
41772.079537,173
41772.079584,173
41772.079630,164
41772.079676,164
41772.079723,164
41772.079771,189
41772.079815,191
41772.079862,192
41772.079913,294
41772.079954,294
41772.080001,294
41772.080047,293
41772.080093,292
41772.080139,290
41772.080186,289
41772.080232,288
41772.080279,289
41772.080324,288
41772.080371,288
41772.080417,288
41772.080464,289
41772.080510,288
41772.080558,293
41772.080602,174
41772.080649,174
41772.080695,174
41772.080741,175
41772.080800,438
41772.080835,452
41772.080880,451
41772.080926,450
41772.080973,450
41772.081019,450
41772.081065,450
41772.081111,450
41772.081158,450
41772.081204,450
41772.081250,448
41772.081297,453
41772.081343,453
41772.081389,452
41772.081436,451
41772.081482,450
41772.081528,177
41772.081575,178
41772.081621,153
41772.081667,153
41772.081713,153
41772.081760,153
41772.081806,153
41772.081852,153
41772.081899,153
41772.081945,153
41772.081991,153
41772.082037,153
41772.082084,153
41772.082130,153
41772.082176,153
41772.082223,155
41772.082269,153
41772.082315,153
41772.082362,152
41772.082408,154
41772.082454,154
41772.082500,154
41772.082547,153
41772.082593,153
41772.082639,154
41772.082686,154
41772.082732,154
41772.082778,153
41772.082825,154
41772.082871,161
41772.082917,161
41772.082963,161
41772.083010,162
41772.083056,162
41772.083102,160
41772.083149,160
41772.083195,160
41772.083242,177
41772.083287,177
41772.083334,179
41772.083380,178
41772.083438,407
41772.083473,409
41772.083519,408
41772.083565,407
41772.083611,406
41772.083658,405
41772.083704,405
41772.083750,405
41772.083797,405
41772.083843,406
41772.083889,406
41772.083936,406
41772.083982,406
41772.084028,406
41772.084075,407
41772.084121,171
41772.084167,171
41772.084214,171
41772.084260,171
41772.084306,171
41772.084352,171
41772.084399,165
41772.084445,165
41772.084491,165
41772.084538,165
41772.084584,165
41772.084630,164
41772.084676,164
41772.084723,164
41772.084769,163
41772.084815,163
41772.084861,163
41772.084908,161
41772.084956,169
41772.085001,174
41772.085047,174
41772.085093,173
41772.085139,173
41772.085186,173
41772.085232,173
41772.085278,173
41772.085325,175
41772.085371,175
41772.085417,162
41772.085463,162
41772.085510,162
41772.085556,162
41772.085602,162
41772.085649,162
41772.085695,160
41772.085741,159
41772.085787,159
41772.085834,159
41772.085880,159
41772.085926,159
41772.085973,159
41772.086019,159
41772.086065,159
41772.086112,170
41772.086158,170
41772.086204,170
41772.086250,170
41772.086298,177
41772.086343,177
41772.086389,174
41772.086436,175
41772.086482,175
41772.086528,175
41772.086574,175
41772.086621,175
41772.086667,175
41772.086714,177
41772.086760,177
41772.086806,168
41772.086852,168
41772.086899,170
41772.086953,301
41772.086991,303
41772.087037,302
41772.087084,301
41772.087130,300
41772.087176,299
41772.087223,298
41772.087269,298
41772.087315,298
41772.087361,298
41772.087408,298
41772.087454,298
41772.087501,298
41772.087547,298
41772.087593,298
41772.087640,161
41772.087686,161
41772.087732,161
41772.087778,161
41772.087825,162
41772.087871,159
41772.087917,159
41772.087964,159
41772.088010,159
41772.088056,159
41772.088102,159
41772.088149,159
41772.088195,159
41772.088241,159
41772.088287,159
41772.088334,161
41772.088380,163
41772.088426,163
41772.088473,166
41772.088519,164
41772.088565,163
41772.088612,170
41772.088658,169
41772.088704,168
41772.088751,169
41772.088797,169
41772.088843,170
41772.088890,173
41772.088936,172
41772.088982,172
41772.089028,171
41772.089074,171
41772.089121,170
41772.089167,169
41772.089214,169
41772.089260,169
41772.089306,167
41772.089352,167
41772.089399,167
41772.089445,167
41772.089491,167
41772.089538,167
41772.089584,164
41772.089630,164
41772.089676,164
41772.089723,165
41772.089769,163
41772.089815,163
41772.089862,163
41772.089908,163
41772.089954,163
41772.090001,163
41772.090047,163
41772.090093,162
41772.090139,163
41772.090186,168
41772.090232,168
41772.090278,164
41772.090325,164
41772.090371,163
41772.090427,362
41772.090464,376
41772.090510,376
41772.090556,375
41772.090602,374
41772.090649,373
41772.090695,372
41772.090741,371
41772.090787,371
